id_municipio,sigla_uf,nome,i111,i112,i113,i121,i122,i123,i124,i131,i132,i133,i211,i212,i213,i221,i222,i223,i224,i311,i312,i313,i321,i322,i323,i411,i412,i413,i511,i512,i513,i514,i515,i521,i522,i523,i524,i611,i612,i613,i614,i615,i621,i622,i623,i711,i712,i721,i722,i723,i724
3118601,MG,Contagem,0.0211675815766732,0.03023849296500217,1.0332543059674908,11.785197891600298,207.451745428297,167.465106748857,0.6359,7.286661970079542e-5,0,0.1,7,13943,0.02777777777777777,2.7272826440785964,3.132324575858633e-4,1.7228309558266144,8493.117647058823,0.799,-0.002923153468429446,0.001802649110431852,29988.913726497845,1.2189904297241507,550032.3489647,0.146722064490594,0,10169.9383348495,0,0.0863983332563009,0,0,93.5203176480527,0.0058410226022179,0.034961483111826,0.0258190129518327,0.0310674680436807,4.7,0.53470715835141,0.509790971823887,545.031763864043,0.00977822350483055,0.149829563061667,0.171046344959388,5560.38719094546,51,100,53,0,84,38
5201405,GO,Aparecida De Goiania,0.03920637132958844,0.0642636653169624,1.020811521493843,14.802278840601842,102.143392926275,57.9699399058621,0.6886,2.7165928614643556e-5,1,0.14285714285714285,7,1271,0.00628930817610062,3.743091446596819,2.0497678598027942e-4,1.614257118873894,18869.173913043476,0.772,-0.02353021382989151,0.010022846193529368,51915.03181609259,0.947319695917677,541058.33596809,0.168466886126999,0,2450.331090781,0,0.0740459959729264,175.003593502947,0,109.534368070953,0.00129366106080207,0.0343538881701883,0.0396722725312635,0.0300416846341814,4.7,0.414512555391433,0.524546677425592,516.826502802932,0.00479092714524372,0.0757016248153619,0.137704918032787,4505.26873812474,100,0,0,0,0,0
2927408,BA,Salvador,0.05025533148458543,0.03023849296500217,1.0341770221625504,12.055490000957683,217.713597689988,72.0003332838664,0.5943,7.988463008731407e-5,1,0.14285714285714285,7,15047,0.03125,3.092710280669269,0.0011593228509922068,1.7790112255608332,5996.921800947867,0.847,-0.002388589257764806,0.004819241377265043,36759.663428974374,1.2522201991676576,534930.672649059,0.471167628098388,173846765.948117,14462.9042632897,0.00915003585824863,0.0503039474476153,3553.25726438658,1,102.130473806037,0.00499542498207088,0.00331379677028464,0.0674629670846007,0.03966664193684,3.7,0.589909977494374,0.418558814260727,532.796627707116,0.0156127252725372,0.183983495873969,0.244428423659217,5727.90460095448,50,77,57,42,62,33
2609600,PE,Olinda,0.10501885043885886,0.02146105894242244,1.1038067431432168,9.234123553649853,563.346926743824,108.321757965431,0.6314,4.182339166895609e-4,1,0.2,8,68599,0.16666666666666666,1.4121515863049077,3.375286791215995e-4,1.9425774117098569,2081.091328413284,0.718,0.03713747275051621,0.016830941264626205,36445.752615309466,2.0114285714285716,532297.894869888,0.202323260405546,0,3656.90233507901,0,0.0440413461732582,0,0,68.3480453972257,0.00292087095061073,0.00902814657461498,0.062931492299522,0.050185873605948,4.4,0.550738007380074,0.463664936976836,512.00825945946,0.00665386668543652,0.145064575645756,0.0411495754408883,3758.86880301602,0,0,0,0,0,0
3201308,ES,Cariacica,0.05700975187202053,0.01713982791015774,1.0157474908429678,14.802278840601842,86.0034766054595,107.099837821834,0.7623,1.4742058449366983e-5,1,0.05,4,146,0.00253164556962025,3.178744570098426,2.041815260652476e-4,1.5246071595552213,10392.190476190475,0.807,-0.03267743630924913,0.0074008086068663055,44442.523452675,0.852623107489563,528225.123918858,0.145189978840525,0,5045.31316834629,0,0.050349754059866,0,0,74.7971046282079,0.00249320036264733,0.0183590208522212,0.0330915684496827,0.0346781504986401,4.3,0.450045620437956,0.426776603032909,520.07762954796,0.0120109435662862,0.0994525547445256,0.416260162601626,4110.0164235098,0,0,0,0,0,0
5201108,GO,Anapolis,0.0299163274331118,0.01682766774502778,1.0276165987964805,11.493612927721772,151.467030053986,84.7054311989425,0.8022,5.414500165723008e-5,1,0.023255813953488372,4,6592,0.01666666666666666,2.5834168989138644,3.7568878209426684e-4,1.6788100594298765,11375.703703703704,0.737,-0.01059845127014572,0.00639897616381379,41456.25193416796,1.0746530314097882,526220.985997321,0.316045043617648,0,7682.05013038237,0.0089752176825184209,0.0712250712250712,0,0,107.921462423832,0.00415271265907569,0.020629604822505,0.0401875418620228,0.0246483590087073,5.5,0.534211742949607,0.618175922137206,549.465968085106,0.00774416149479001,0.199260286638927,0.182884180209833,5537.24156760773,0,0,0,0,0,0
3538709,SP,Piracicaba,0.01719697684148184,0.01713982791015774,1.0075984599592696,10.527299296457924,38.6713170994379,31.6995316610352,0.6909,5.599077224311549e-6,1,0,8,10,0.00114810562571756,2.2321836905521684,3.21100593480571e-4,1.3996976653042943,5470.298245614035,0.789,-0.0462801864869401,0.001483079412161251,39043.31507544227,0.6450103611411592,522615.829192392,0.265252361826954,200000,19875.0501322284,0.0297266396424488,0.142907486916837,155.908949173683,1,87.3129739700758,0.00467726847521048,0.0437584450680802,0.0557114645047292,0.0368984513044382,5.5,0.600344036697248,0.731038185973338,552.880568990043,0.0161626334788218,0.196387614678899,0.162285313704872,7023.55601085973,0,0,0,0,81,65
3106200,MG,Belo Horizonte,0,0.03896029904009988,1.0433511833190166,17.410414018526794,299.566779512308,152.682890961762,0.5406,1.232723206155105e-4,1,0,9,28589,0.05555555555555555,2.291580487190541,2.487800642933101e-4,1.8268510568333365,3805.5115207373274,0.75,0.008460345656076257,0.001532860701283771,25035.79950969796,1.3472543724279835,522463.846212076,1.13099714408107,3266159498.7724,35641.9274137877,0.0167857884278893,0.0671191029102631,2911.68242459741,1,162.586996609363,0.00929742874936979,0.00879326195913283,0.085189359115039,0.0876805361962099,4.7,0.592595165323701,0.631102845901012,572.083300986193,0.0122605446511973,0.255418171714365,0.432178521871659,6185.33875134374,38,81,53,49,75,29
2800308,SE,Aracaju,0.01732192698143808,0.00761281383284587,1.0638767881161597,11.66282068834958,427.324226533683,369.817634894009,0.5409,3.0024504681178663e-4,1,0.05,10,33199,0.14285714285714285,1.2748410137942938,2.039748331758675e-4,1.8788516458740416,2874.847328244274,746,0.024767380976427028,0.008286377195889956,21191.472867246583,1.6729251700680274,518251.070927036,0.611120748822332,0,15852.3564317722,0.00495484695916247,0.0427337359529088,8186.77663230241,0,55.5644901897716,0.00639335091504835,0.00375609366259091,0.0617757532166547,0.0388396068089187,3.7,0.553699551569507,0.496728579577428,551.541169504071,0.0143333588517855,0.193385650224215,0.0570932489020529,4000.01150472129,42,65,78,0,76,46
4209102,SC,Joinville,0.2147418668008313,0.01713982791015774,1.018504485940732,14.802278840601842,94.1447657438001,105.549024959605,0.5094,2.1244302162098235e-5,0,0.043478260869565216,1,769,0.00301204819277108,2.633648986632169,5.549873024014923e-4,1.601742696053306,9995.689655172417,0.691,-0.027249312922483004,0.01718667371760973,51832.02137695596,0.9059460738925516,513123.19704356,0.272225069563182,52000000,16021.3550854297,0.0094948177139958009,0.152435251344537,3972.46336015076,1,148.123473240062,0.0124664782199029,0.0280495759947815,0.0633471044429949,0.0839312894107415,5.8,0.608087679516251,0.550142209581809,550.183787951807,0.0164602878820433,0.206538170823885,0.388975289441852,6718.97630257443,48,80,0,0,71,0
4125506,PR,Sao Jose Dos Pinhais,0.10852757593796956,0.01686736771017009,1.022627962928971,14.802278840601842,115.775203113462,97.5282565917358,0.6086,3.464565108249094e-5,1,0.024390243902439025,7,2122,0.00775193798449612,2.2662016255951114,3.7007082899511237e-4,1.617992071838848,16270.964285714288,745,-0.021318037330940814,0.01069747539580659,34908.30642127736,0.9995042633353164,511906.134027081,0.132850468157033,0,8874.41002928695,0,0.144310329070855,0,0,213.88985105646,0.00668672684720829,0.0461384152457372,0.0442995653627549,0.049983283182882,4.9,0.536426380368098,0.509503373217663,528.128954372624,0.00834628923582765,0.152990797546012,0.410596026490066,8981.05333333333,0,0,0,0,0,0
2704302,AL,Maceio,0.00818796267104867,0.00761281383284587,1.0634202393706518,11.66282068834958,391.771408799933,132.226506225894,0.4892,2.904263148679996e-4,0,0,7,33199,0.14285714285714285,0.25989001056788474,5.047013050673378e-4,1.87423859057258,1438.32,0.684,0.021580162394489177,0.0015403573629081946,31920.1972655824,1.65234375,510626.204774202,0.464072786036517,0,9969.70188843124,0.0145179634709306,0.0390859377386735,147.186726433398,0,85.3593374298691,0.0083628821837158,0.00515153542516893,0.0452933699070047,0.0340536562520907,4.2,0.481912144702842,0.449158345785243,524.65515436516,0.0148455343083144,0.177002583979328,0.140383080606544,4670.39882597095,62,68,54,44,68,60
2611606,PE,Recife,0.07356992527831735,0.03445808479688203,1.0495655272563449,11.706666451627685,356.563091276061,275.570339522769,0.7544,1.5782535830215487e-4,1,0.07692307692307693,13,29370,0.08333333333333333,1.5092003813852457,3.7622291336437676e-4,1.8372221201543264,3311.3709198813053,752,0.014566911814673816,0.002617430673457838,30699.565237647617,1.5308814389085412,510518.750740936,0.498630462891253,117200000,21311.5920944819,0.0330304252085724,0.0512041733431322,659.508916664082,1,111.348148148148,0.00775362094097944,0.00775362094097944,0.0591446205377911,0.0552057810997736,4.8,0.587513340448239,0.621508129864572,537.93662330574,0.0472528861304593,0.206756423938921,0.256814395201599,5613.48795103369,53,67,55,47,71,53
4305108,RS,Caxias Do Sul,0.02445218131290385,0.0162090373984493,1.0303656700944446,10.782704238677155,186.044198130256,125.926809568246,0.5613,6.120932329978622e-5,1,0,10,11814,0.02272727272727272,1.2469113442605984,3.0119838826166145e-4,1.6851045186077669,2741.099290780142,0.717,-0.006329956422836791,0.00657298277425204,25849.324426906285,1.170873082960995,502592.744553939,0.317181177940764,0,16713.1015855922,0.00676674185268725,0.178306719415756,3463.185589951,0,123.300159538099,0.0172668585206502,0.0879676440849343,0.0714007933421482,0.0510227891421016,4.7,0.559467455621302,0.507684374194523,554.926767143934,0.0121286682564799,0.144970414201183,0.308922405960385,5993.08191026411,0,95,64,0,0,0
3506003,SP,Bauru,0.02028228482799825,0.01686736771017009,1.0217296124908224,14.802278840601842,105.455030697947,69.6488311765908,0.7972,2.831641805482646e-5,1,125,7,1498,0.00666666666666666,2.9940446670691223,6.274511845907361e-4,1.614257118873894,9916.287671232878,754,-0.02326228423817267,0.011468766725284808,40489.20712070369,0.9523126996924364,499628.097102873,0.426078980547889,0,14633.9416173704,0.0147311563957771,0.101739967059668,0,0,102.613981762918,0.00564694328504788,0.0159587527620918,0.0556101153940584,0.052909403388166,4.9,0.629168872419269,0.622868958511455,548.758826597132,0.0116065803101861,0.237956590788777,0.387298453438631,5335.55655382411,0,0,0,0,0,66
3170206,MG,Uberlandia,0,0.01682766774502778,1.026930198428348,11.493612927721772,149.025446435803,110.870643374117,0.7708,5.3892204705981724e-5,1,1,4,6592,0.01587301587301587,2.346663988413653,2.850071739111444e-4,1.6788100594298765,10423.94,0.808,-0.010872334559979074,0.005720505226921811,54426.07734125369,1.068663313519281,495094.627398398,0.462546732480493,1000000,12943.3609794551,0.0213586472856719,0.0649193487995926,59.9150400474637,0,113.955853322965,0.00593295757935331,0.0121625630376743,0.0643725897359834,0.0757045387125482,4.8,0.572061506385197,0.586209113646336,562.939801324503,0.00730727409393414,0.224133437581444,0.444194463464736,5514.05478660422,0,72,36,46,81,0
3526902,SP,Limeira,0.12480992281361504,0.01713982791015774,1.0182490215675852,14.802278840601842,93.9882177844134,158.693029115652,0.7103,1.911761025648423e-5,1,0,7,721,0.0029940119760479,1.36590342027113,3.321792386905445e-4,1.5971634377345831,7584925,0.815,-0.027840569367251017,0.015139226818058935,37835.80531024512,0.9023646638905414,493602.916797169,0.221382812343063,0,13343.1289806714,0.0033127541032977,0.150688474836396,0,0,85.1476289889651,0.00557145008281885,0.0551121819003162,0.103900015057973,0.0411082668272851,5.4,0.634146341463415,0.642090425394664,561.104491456469,0.0166690788833176,0.200725115359262,0.43298969072165,6541.35653948066,0,0,0,0,0,0
4106902,PR,Curitiba,0.07533947974160263,0.03259395497801173,1.036071987497165,24.11373459229807,221.134405411651,202.764130750885,0.3403,8.674504142292506e-5,1,0.08333333333333333,12,15047,0.03225806451612903,1.3912390326719233,3.430515354082747e-4,1.7887807670291929,2673.105069124424,0.711,-0.0010588209522911507,0.0018794668249375573,22232.68391109319,1.2589832313015703,492209.888354013,0.684533653727771,3633766040.4,38169.9470827397,0.019309096394629702,0.0716764718647436,276.673966661638,1,197.989362103437,0.0115779152209986,0.0159903454518027,0.119399607783979,0.123510333383617,5,0.674913644214162,0.605520907357374,564.329436762912,0.0222324520054707,0.322107081174439,0.223233041665977,6865.61446653858,43,80,45,58,81,30
4314902,RS,Porto Alegre,0.01832264875423591,0.01437148049998785,1.0371404760899492,12.447100722183263,240.173656761617,143.153241423142,0.4931,9.947845781515657e-5,1,0.09090909090909091,10,18195,0.04166666666666666,1.7742464474423667,3.626084048895688e-4,1.789517009359174,2335.465277777778,0.785,8.549891654668074e-4,4.795013186286262e-4,26622.380203686324,1.2907987627738062,492078.595930726,1.16922100493328,1004027724.8,79549.9521952658,0.0227188081936685,0.0636622123803972,5390.26671558038,1,149.605165254542,0.00762259466170081,0.0143761638733706,0.134549968963377,0.113345747982619,4,0.64056461098975,0.481905706466804,563.904228456914,0.0225177005884184,0.282137455889766,0.516276537833424,6901.23447288616,34,73,42,41,64,52
